ccl_grana_filename,ccl_grana_processing_time(ms),ccl_wu_processing_time(ms),findContours_processing_time(ms),ccl_grana < findContours,ccl_wu < findContours
..\ccl_data\jpg_files\Uniform\DH\n=500d=6_244.jpg,62142,73121,51176,,
..\ccl_data\jpg_files\Uniform\DH\n=500d=8_193.jpg,50230,49341,47900,,
..\ccl_data\jpg_files\Uniform\FA2\n=1000d=10_7424.jpg,147917,226392,166144,1,
..\ccl_data\jpg_files\Uniform\FA2\n=1000d=12_7620.jpg,142646,226298,156582,1,
..\ccl_data\jpg_files\Uniform\FA2\n=1000d=15_7404.jpg,156805,198435,138934,,
..\ccl_data\jpg_files\Uniform\FA2\n=1000d=6_8602.jpg,178646,207619,169547,,
..\ccl_data\jpg_files\Uniform\FA2\n=1000d=8_7402.jpg,156725,217580,144214,,
..\ccl_data\jpg_files\Uniform\FA2\n=2000d=10_1866.jpg,603096,857073,535788,,
..\ccl_data\jpg_files\Uniform\FA2\n=2000d=12_1885.jpg,616264,848404,611577,,
..\ccl_data\jpg_files\Uniform\FA2\n=2000d=15_1853.jpg,533116,789076,574650,1,
..\ccl_data\jpg_files\Uniform\FA2\n=2000d=6_1873.jpg,598668,851810,568722,,
..\ccl_data\jpg_files\Uniform\FA2\n=2000d=8_1911.jpg,676802,815481,738100,1,
..\ccl_data\jpg_files\Uniform\FA2\n=3000d=10_861.jpg,1326671,1909304,1595821,1,
..\ccl_data\jpg_files\Uniform\FA2\n=3000d=12_804.jpg,1570459,1853444,1813185,1,
..\ccl_data\jpg_files\Uniform\FA2\n=3000d=15_865.jpg,1437345,1760177,1643604,1,
..\ccl_data\jpg_files\Uniform\FA2\n=3000d=6_972.jpg,1344408,1875272,1346792,1,
..\ccl_data\jpg_files\Uniform\FA2\n=3000d=8_822.jpg,1379627,1938593,1501329,1,
..\ccl_data\jpg_files\Uniform\FA2\n=500d=10_30818.jpg,78593,76644,85092,1,1
..\ccl_data\jpg_files\Uniform\FA2\n=500d=12_34809.jpg,53085,52882,52106,,
..\ccl_data\jpg_files\Uniform\FA2\n=500d=15_30387.jpg,49124,80971,54000,1,
..\ccl_data\jpg_files\Uniform\FA2\n=500d=6_25765.jpg,69393,76924,66821,,
..\ccl_data\jpg_files\Uniform\FA2\n=500d=8_30041.jpg,56971,78753,62831,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=1000d=10_1.jpg,212693,284668,233436,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=1000d=12_1.jpg,281023,274233,330313,1,1
..\ccl_data\jpg_files\Uniform\FDGE\n=1000d=15_1.jpg,189660,231287,253711,1,1
..\ccl_data\jpg_files\Uniform\FDGE\n=1000d=6_1.jpg,210983,270219,215424,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=1000d=8_1.jpg,199616,266049,222565,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=2000d=10_1.jpg,801021,1049146,837295,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=2000d=12_1.jpg,1095707,1012096,849810,,
..\ccl_data\jpg_files\Uniform\FDGE\n=2000d=15_1.jpg,806297,1146282,991640,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=2000d=6_1.jpg,814291,966662,708378,,
..\ccl_data\jpg_files\Uniform\FDGE\n=2000d=8_1.jpg,765630,896585,755046,,
..\ccl_data\jpg_files\Uniform\FDGE\n=3000d=10_1.jpg,1762002,2107837,1807189,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=3000d=12_1.jpg,1830415,2258170,1987596,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=3000d=15_1.jpg,1888136,2146807,2367852,1,1
..\ccl_data\jpg_files\Uniform\FDGE\n=3000d=6_1.jpg,1772822,1944932,1615677,,
..\ccl_data\jpg_files\Uniform\FDGE\n=3000d=8_1.jpg,1591261,2113556,1693623,1,
..\ccl_data\jpg_files\Uniform\FDGE\n=500d=10_2.jpg,96002,81143,149692,1,1
..\ccl_data\jpg_files\Uniform\FDGE\n=500d=12_2.jpg,61947,67914,82802,1,1
..\ccl_data\jpg_files\Uniform\FDGE\n=500d=15_1.jpg,42922,61889,66820,1,1
..\ccl_data\jpg_files\Uniform\FDGE\n=500d=6_3.jpg,84889,65113,236397,1,1
..\ccl_data\jpg_files\Uniform\FDGE\n=500d=8_2.jpg,67942,76794,78789,1,1
..\ccl_data\jpg_files\Uniform\FR\n=1000d=10_9593.jpg,158867,199431,175530,1,
..\ccl_data\jpg_files\Uniform\FR\n=1000d=12_7465.jpg,159602,201358,184506,1,
..\ccl_data\jpg_files\Uniform\FR\n=1000d=15_7802.jpg,133641,175845,225396,1,1
..\ccl_data\jpg_files\Uniform\FR\n=1000d=6_9193.jpg,178590,228410,221406,1,
..\ccl_data\jpg_files\Uniform\FR\n=1000d=8_10521.jpg,220780,200098,171541,,
..\ccl_data\jpg_files\Uniform\FR\n=2000d=10_2181.jpg,623850,841042,652256,1,
..\ccl_data\jpg_files\Uniform\FR\n=2000d=12_2063.jpg,623910,834741,662229,1,
..\ccl_data\jpg_files\Uniform\FR\n=2000d=15_1836.jpg,717062,830534,640842,,
..\ccl_data\jpg_files\Uniform\FR\n=2000d=6_2163.jpg,639681,962493,639321,,
..\ccl_data\jpg_files\Uniform\FR\n=2000d=8_1818.jpg,757633,921808,671204,,
